P00000275145	야구
P00000250695	장애인
P00000394832	라디오
P00000257036	부산
P00000253885	부산
P00000453145	부산
P00000268407	부산
P00000287742	부산
P00000267522	부산
P00000255251	월드컵^축구
P00000248491	마라톤
P00000275967	독립영화^인디영화
P00000443256	지구
P00000443497	링컨
P00000464618	톱스타
P00000274156	황제
P00000474048	영국
P00000473686	신입생^전생^괴물^몬스터
P00000473729	그리스^작가^시나리오작가^유년시절^어린시절
P00000473890	댄스^춤
P00000473883	공주^수영^위안부^일제강점기
P00000465967	황제
P00000464341	홍콩
P00000462171	해병대^해병
P00000453122	테러
P00000465873	소년
P00000472719	북한
P00000443408	좀비^괴물
P00000430616	동물원
P00000429856	크리스마스^변호사^변호인^초능력^순간이동^암
P00000432723	대통령^천국^테러^죽음
P00000402735	인도
P00000442822	북한^샐러리맨^직장인
P00000403374	북한
P00000338900	피아니스트^일제강점기
P00000453121	피아니스트
P00000251009	축구
P00000267082	축구
P00000270522	괴물
P00000443256	야구^지구
P00000415808	우주전쟁
P00000377838	대학교^테러
P00000251070	대학교^아줌마
P00000430125	빙의
P00000257169	홍콩
P00000253728	좀비
P00000268407	아일랜드
P00000251740	아일랜드
P00000310973	아일랜드
P00000473194	아일랜드
P00000453495	괴물^몬스터^작가
P00000248446	형제^남매^닌자
P00000248499	부산
P00000248516	탈출
P00000248701	축구
P00000255251	축구
P00000258100	라스베가스
P00000259026	바이러스
P00000259082	요리사
P00000259160	고등학생
P00000262582	링컨
P00000262629	로봇^사무라이^무술
P00000262812	가족의죽음^아들의죽음
P00000263811	귀신
P00000254440	폭풍
P00000255188	폭풍^리메이크
P00000266904	변호사^폭풍
P00000268806	폭풍^군대
P00000343859	폭풍
P00000415807	예술가^폭풍^여왕^지구^실종
P00000255344	화가^쓰나미^판사^변호사
P00000282697	화가^연애^무인도
P00000287978	화가
P00000287978	화가
P00000444365	우주
P00000473883	화가^재난^도망
P00000253528	살인^월드컵
P00000257982	월드컵
P00000263268	월드컵
P00000263714	월드컵
P00000267082	월드컵
P00000416062	월드컵
P00000270877	발렌타인
P00000482843	히틀러^유대인^공룡^사무라이^단편영화
P00000429941	박물관^군대^대학
P00000415125	핵^질투
P00000443408	독립영화^괴물^좀비^커플
P00000277503	엑소시즘
P00000249394	천주교
P00000250151	북한
P00000477650	천재
P00000452959	탁구
